BUILDING ADDRESS,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),ENERGY STAR SCORE,GROSS BUILDING FLOOR AREA (ft²),PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
6310 SAN VICENTE BLVD,483,66,119478.0,Office,63.5,1245.5,1970.0
4847 LAUREL CANYON BLVD,27.4,Not Available,28906.0,Other,17.1,1800.4,2007.0
8800 CORBIN AVE,118.2,95,74285.0,Retail Store,24.1,200.0,2009.0
12326 MONTAGUE ST,36.9,Not Available,43000.0,Manufacturing/Industrial Plant,14.2,602.2,1963.0
6900 LANKERSHIM BLVD,7.2,Not Available,5000.0,Office,23.8,241.0,1955.0
14751 TITUS ST,211.4,36,51370.0,Multifamily Housing,71.6,6005.4,1963.0
222 S MAIN ST,404.8,100,221538.0,Multifamily Housing,30.5,4773.3,2017.0
5900 CENTER DR,577.2,100,370617.0,Multifamily Housing,25.8,7484.3,2016.0
415 WASHINGTON BLVD,173.6,15,66866.0,Multifamily Housing,39.2,4270.6,1970.0
4020 BUCKINGHAM RD,113.6,49,50336.0,Multifamily Housing,36.7,2676.3,2012.0
727 W VERNON AVE,45.2,Not Available,10626.0,Fire Station,75.5,814.4,2010.0
101 BRIDEWELL ST,181.2,87,82960.0,Multifamily Housing,37.2,3724.6,1988.0
6150 DE SOTO AVE,46.2,Not Available,21295.0,Multifamily Housing,37.4,1089.9,2003.0
6040 W CENTER DR,353.1,100.0,247023.0,Multifamily Housing,22.9,6146.0,2016.0
8700 PERSHING DR,179.5,97,93243.0,Multifamily Housing,33.2,1753.9,2004.0
8500 PERSHING DR,123.9,90,54795.0,Multifamily Housing,39.3,1725.8,2004.0
4680 WILSHIRE BLVD,115.8,Not Available,229198.0,Office,7.6,1442.0,1949.0
10515 BALBOA BLVD,35.2,100,85569.0,Office,7.1,1648.7,1953.0
808 N SPRING ST,240.1,82,129962.0,Multifamily Housing,30.2,3215.9,2012.0
3401 S LA CIENEGA BLVD,23.6,Not Available,86941.0,Self-Storage Facility,4.3,165.0,1978.0
6200 N DE SOTO AVE,634.6,99,401567.0,Multifamily Housing,26.9,24033.4,2003.0
1828 E CESAR CHAVEZ AVE EAST,209.2,37,50220.0,Medical Office,63.8,92.0,2014.0
1050 INGRAHAM ST,155.9,100,147000.0,Multifamily Housing,18.2,3377.5,2008.0
1100 E 5TH ST,0.6,Not Available,34528.0,Non-Refrigerated Warehouse,0.3,0.7,1950.0
15220 SHERMAN WAY,80.1,98,26000.0,Multifamily Housing,53.1,1746.7,1963.0
3252 OVERLAND AVE,64.5,73,25971.0,Multifamily Housing,43.6,1472.2,1964.0
6333 WILSHIRE BLVD,122.4,67,44432.0,Office,46.6,1183.4,1947.0
333 S GRAND AVE,4546,93,2771457.0,Office,24.9,11756.6,1981.0
4300 WILSHIRE BLVD,45.5,98,27425.0,Hotel,29.0,1187.2,1958.0
3762 CLARINGTON AVE,255,98,178188.0,Multifamily Housing,23.9,3158.3,2006.0
634 S SAN PEDRO ST,1.1,Not Available,20000.0,Other,0.8,10.5,1919.0
5900 CENTER DR,523.8,100.0,370617.0,Multifamily Housing,22.5,5272.3,2016.0
5710 CRESCENT PARK EAST,593.6,46.0,255000.0,Multifamily Housing,38.8,7148.4,2003.0
15532 NORDHOFF ST,111.2,85,58500.0,Multifamily Housing,30.8,3694.6,2007.0
3201 SAWTELLE BLVD,164.7,99,88040.0,Multifamily Housing,32.0,2295.0,2004.0
3400 SAWTELLE BLVD,23.7,92,27402.0,Worship Facility,14.5,1167.7,1959.0
830 S FLOWER ST,90.3,Not Available,19562.0,Parking,69.6,631.4,2009.0
10736 MAGNOLIA BLVD,68.1,44,20986.0,Multifamily Housing,57.8,892.4,2010.0
3838 GIBRALTAR AVE,50.7,63,21378.0,Multifamily Housing,41.5,1713.8,1958.0
1558 S BUNDY DR,20.2,Not Available,23063.0,Multifamily Housing,13.6,751.8,1961.0
303 S PACIFIC AVE,130.6,73,64873.0,Multifamily Housing,33.7,2954.8,2000.0
555 E RAMIREZ ST,2855,Not Available,1300000.0,Other - Services,38.0,13986.3,2001.0
5570 AIRDROME ST,10.1,Not Available,65331.0,Self-Storage Facility,2.4,459.0,1989.0
680 S BERENDO ST,282.9,86,105455.0,Multifamily Housing,45.1,4274.4,2014.0
4927 E HUNTINGTON DR NORTH 100-200,24.7,99,28812.0,Office,14.9,64.6,2010.0
3930 ROXANNE AVE,49.1,70,21617.0,Multifamily Housing,40.2,1267.9,1954.0
8700 PERSHING DR,173.9,98,93243.0,Multifamily Housing,32.3,1753.9,2004.0
160 S VIRGIL AVE,514.5,58.0,219291.0,Multifamily Housing,35.3,16.0,1972.0
14600 ARMINTA ST,60.8,Not Available,45965.0,Distribution Center,22.2,428.6,1953.0
501 N BEAUDRY AVE,13.1,91,24322.0,Worship Facility,9.0,472.8,2006.0
617 W 7TH ST,403.5,85,219122.0,Office,30.4,2390.3,1923.0
3400 SAWTELLE BLVD,15.8,100,27402.0,Worship Facility,9.9,1017.1,1959.0
1421 240TH ST,12.6,Not Available,27600.0,Manufacturing/Industrial Plant,7.6,107.0,1965.0
676 MATEO ST,6.6,94,26880.0,Non-Refrigerated Warehouse,4.0,57.6,1978.0
245 S AVENUE 50,3.6,100,63766.0,Multifamily Housing,0.9,6335.3,2001.0
12121 W PICO BLVD,149.2,Not Available,31499.0,Strip Mall,71.5,293.2,2000.0
2608 S SAN PEDRO ST,69,Not Available,23400.0,Mixed Use Property,46.1,865.5,1914.0
930 FIGUEROA TER,329.9,100,158213.0,Multifamily Housing,35.0,2907.7,1988.0
6150 N DE SOTO AVE,289.6,100,190135.0,Multifamily Housing,26.0,10596.2,2003.0
5303 W SAN FERNANDO RD,4.2,Not Available,30800.0,Other,2.3,4.6,1960.0
8811 WOODMAN AVE,55.8,49,18660.0,Multifamily Housing,49.5,1732.5,1962.0
6901 MCKINLEY AVE,315.6,Not Available,34700.0,Manufacturing/Industrial Plant,137.2,5881.2,1973.0
3316 SAN MARINO ST,98.4,68,38212.0,Multifamily Housing,45.2,3067.8,1928.0
5399 PLAYA VISTA DR,1231.5,98,627043.0,Multifamily Housing,33.0,23942.1,2002.0
6040 W CENTER DR,372.2,100,247023.0,Multifamily Housing,25.0,5034.4,2016.0
3320 W 36TH ST,13.7,Not Available,8538.0,Other - Public Services,28.1,20.8,1990.0
5150 WILSHIRE BLVD,57.8,90,31060.0,Office,26.2,2.3,1957.0
1100 E 33RD ST,142.6,94,75535.0,Multifamily Housing,30.8,4093.5,2009.0
8711 BURTON WAY,70.6,70,38173.0,Multifamily Housing,30.9,1223.8,1974.0
4629 FULTON AVE,106.3,54,61101.0,Multifamily Housing,28.0,2132.6,2007.0
8155 FOOTHILL BLVD,133.2,85,64231.0,Multifamily Housing,37.0,3666.2,1984.0
1342 WELLESLEY AVE,37.3,93,22254.0,Multifamily Housing,28.4,926.1,1970.0
360 E 2ND ST,296,79,138466.0,Office,32.5,3481.4,1931.0
6150 N DE SOTO AVE,48.7,Not Available,24337.0,Multifamily Housing,34.9,1089.9,2003.0
7515 S SEPULVEDA BLVD,15.1,Not Available,25819.0,Worship Facility,9.8,1770.3,1953.0
4718 W WASHINGTON BLVD,100.2,Not Available,45840.0,Performing Arts,36.8,0.0,2000.0
401 OCEAN FRONT WALK,53.5,80,21861.0,Hotel,40.9,959.8,1914.0
111 UNIVERSAL HOLLYWOOD DR,1824.6,89,822203.0,Office,33.5,12039.2,1985.0
600 W 7TH ST,19921.5,1,533828.0,Data Center,562.5,23479.7,1922.0
15305 LANARK ST,157.3,76,68345.0,Multifamily Housing,37.7,4779.0,2013.0
4320 VAN NUYS BLVD,33.2,100,33150.0,Multifamily Housing,15.4,2412.5,1985.0
688 S BERENDO ST,186.1,97,105455.0,Multifamily Housing,29.6,2421.4,2014.0
13464 VICTORY BLVD,75.4,41,20128.0,Multifamily Housing,63.8,1214.8,1969.0
654 S FIGUEROA ST,757.2,Not Available,401983.0,Office,28.4,1636.0,1988.0
7320 ETHEL AVE,10.6,Not Available,50950.0,Manufacturing/Industrial Plant,3.1,1106.4,1948.0
7621 S FIGUEROA ST,46.6,63,34429.0,Multifamily Housing,20.8,120.4,2013.0
825 S HOBART BLVD,154.3,60.0,58096.0,Multifamily Housing,42.1,3559.2,1988.0
1120 S VERMONT AVE,283.5,Not Available,144266.0,Police Station,33.5,1671.9,1990.0
18550 VINCENNES ST,86.3,95,40252.0,Multifamily Housing,38.5,2129.7,1980.0
433 KELTON AVE,74.9,89,47946.0,Multifamily Housing,26.0,2069.1,1970.0
23100 AVENUE SAN LUIS,357.1,100,224000.0,Multifamily Housing,26.7,7738.6,1991.0
515 S OLIVE ST,2632.9,92,995327.0,Hotel,43.9,15486.2,1923.0
23150 AVENUE SAN LUIS,237.2,99,108000.0,Multifamily Housing,36.0,5552.8,1991.0
8418 WILLIS AVE,69,74,26844.0,Multifamily Housing,46.4,2737.9,1961.0
16830 VENTURA BLVD,755.1,86,237759.0,Office,50.8,3628.8,1986.0
2309 S SANTA FE AVE,0,100,20550.0,Non-Refrigerated Warehouse,0.0,120.4,1987.0
555 W 5TH ST,3641.7,97,1546011.0,Office,38.2,1526.7,1991.0
5840 W CENTINELA AVE,71.8,Not Available,29340.0,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",40.5,167.6,1956.0
1888 CENTURY PARK EAST,2244.3,79,516405.0,Office,75.6,1619.2,1969.0
3745 S GRAND AVE,79.7,84,24588.0,Hotel,59.3,5028.4,1936.0
1009 S LOS ANGELES ST,15.2,100,37302.0,Office,6.0,73.3,1966.0
8501 S SEPULVEDA BLVD,136.7,89,82687.0,Multifamily Housing,27.5,3207.6,1969.0
9500 TOPANGA CANYON BLVD,8.3,97,20339.0,Non-Refrigerated Warehouse,6.2,241.9,1992.0
6710 VARIEL AVE,466.8,68,166958.0,Multifamily Housing,47.9,13217.8,2009.0
3765 CARDIFF AVE,34.7,Not Available,20942.0,Multifamily Housing,27.7,682.2,1990.0
639 N BROADWAY,324.9,100,382200.0,Multifamily Housing,13.1,7305.5,2013.0
1050 WILSHIRE BLVD,243.1,100,189745.0,Multifamily Housing,21.8,3415.6,2008.0
330 S HARVARD BLVD,122.8,66,59025.0,Multifamily Housing,35.1,2725.2,2000.0
4573 WILLIS AVE,49.8,96,26883.0,Multifamily Housing,30.7,2283.4,1964.0
4740 KESTER AVE,45.8,86,23828.0,Multifamily Housing,29.7,1321.1,1987.0
1478 S BEVERLY DR,85.7,47,36000.0,Multifamily Housing,40.6,2317.5,1986.0
7242 DE SOTO AVE,95.4,92,50725.0,Multifamily Housing,32.5,2064.6,1967.0
1919 W SLAUSON AVE,62.5,Not Available,16460.0,Fire Station,67.4,1269.3,1989.0
12301 W PICO BLVD,186.2,99,90700.0,Multifamily Housing,34.5,2338.4,2014.0
4920 VAN NUYS BLVD,270.8,100,148890.0,Multifamily Housing,30.0,5865.5,1988.0
14735 ROSCOE BLVD,99.5,65,28170.0,Multifamily Housing,60.9,2892.0,1959.0
707 WILSHIRE BLVD,4372.8,85,1327532.0,Office,49.7,6705.5,1974.0
5217 HOLLYWOOD BLVD,224.8,86,98694.0,Multifamily Housing,39.0,5140.0,1928.0
260 S MAIN ST,188.2,Not Available,298000.0,Police Station,10.8,1778.7,1990.0
17810 MERRIDY ST,91.3,92,39392.0,Multifamily Housing,38.6,2224.0,1987.0
1531 E 103RD ST,27.4,81,14391.0,Office,32.2,71.6,1974.0
2200 W 7TH ST,55.7,88,23968.0,Medical Office,38.4,136.9,2000.0
15165 VENTURA BLVD,143.8,92,67539.0,Office,31.1,304.5,1986.0
909 MAHAR AVE,25.5,37,20190.0,Non-Refrigerated Warehouse,18.4,127.2,1980.0
4750 WILSHIRE BLVD,395,Not Available,148994.0,Parking,40.7,1378.8,1985.0
8500 PERSHING DR,119.5,90.0,54795.0,Multifamily Housing,37.6,1668.9,2004.0
1550 AMHERST AVE,29.6,100,36609.0,Multifamily Housing,13.4,1899.3,1989.0
11121 W PENDLETON ST,633.2,Not Available,83719.0,Manufacturing/Industrial Plant,116.9,1808.8,2014.0
434 S VERMONT AVE,13.3,71,22768.0,Worship Facility,8.8,187.8,1948.0
9400 LA TIJERA BLVD,523.5,93,278304.0,Multifamily Housing,31.0,8515.3,1987.0
9400 LA TIJERA BLVD,253.1,98,137907.0,Multifamily Housing,30.3,4257.7,1987.0
7132 DE SOTO AVE,160.9,68,45362.0,Hotel,57.7,4687.3,1988.0
12744 SAN FERNANDO RD,1678.5,Not Available,30940.0,Manufacturing/Industrial Plant,818.4,6539.5,1965.0
8701 LINCOLN BLVD,780.7,33.0,123012.0,Hotel,106.2,9078.4,1968.0
523 E TEMPLE ST,147.1,40,33411.0,Office,76.7,267.8,1990.0
9401 CORBIN AVE,637.2,Not Available,131305.0,Manufacturing/Industrial Plant,74.6,1407.7,1981.0
5662 LA MIRADA AVE,66.5,71,29870.0,Multifamily Housing,39.5,1619.5,1991.0
21809 LANARK ST,92.9,56,32004.0,Multifamily Housing,51.7,3035.6,1962.0
6900 AVALON BLVD,58.1,1.0,28915.0,Non-Refrigerated Warehouse,28.5,382.5,1937.0
4303 NORMAL AVE,27.7,96,20465.0,Multifamily Housing,21.9,1268.7,1950.0
455 E 3RD ST,588.9,100,2960926.0,Multifamily Housing,3.3,14079.9,1975.0
401 N AVENUE 19,29.6,Not Available,40165.0,Other - Services,12.2,249.9,1990.0
550 W 5TH ST,600.1,28,140409.0,Office,64.5,2244.9,1986.0
618 S DETROIT ST,72.6,88,34834.0,Multifamily Housing,34.7,1640.5,1990.0
1850 W 60TH ST,234.6,Not Available,30000.0,Veterinary Office,136.1,8539.5,2000.0
2801 W EXPOSITION BLVD,24.7,Not Available,20393.0,Other - Services,20.1,274.8,1990.0
12035 W OSBORNE ST,106.4,88,59463.0,Multifamily Housing,28.2,3061.0,2013.0
15945 VENTURA BLVD,87.4,79,35000.0,Retail Store,35.2,255.0,1962.0
5325 N ETIWANDA AVE,326.4,92,134103.0,Senior Living Community,38.8,6052.5,2008.0
3165 SAWTELLE BLVD,119.5,100,88040.0,Multifamily Housing,23.6,2286.0,2004.0
5461 YARMOUTH AVE,149.5,84,64090.0,Multifamily Housing,39.4,2349.6,1970.0
8334 SEPULVEDA BLVD,70.2,71,22992.0,Multifamily Housing,54.7,2411.0,1953.0
9640 N VAN NUYS BLVD,130.4,81,51800.0,Multifamily Housing,41.4,2446.7,2010.0
412 S WESTMORELAND AVE,61.6,11,23710.0,Multifamily Housing,36.8,2976.5,1989.0
5410 VINELAND AVE,9.6,Not Available,64600.0,Self-Storage Facility,2.3,28.0,2016.0
3101 SAWTELLE BLVD,193.4,91,88040.0,Multifamily Housing,37.2,2088.6,2004.0
1330 S OLIVE ST,59.7,63,14615.0,Multifamily Housing,67.7,1903.0,2003.0
19867 PRAIRIE ST,392.4,Not Available,82200.0,Financial Office,81.6,6315.6,1990.0
638 S BROADWAY,14,Not Available,90000.0,Retail Store,2.6,39.5,1906.0
333 S HOPE ST,7126.2,87,1699782.0,Office,73.3,12640.9,1974.0
9628 VAN NUYS BLVD,139.5,53,44300.0,Multifamily Housing,52.0,443.6,2010.0
5220 W CENTURY BLVD,484.7,97,324463.0,Office,25.7,3388.5,1982.0
21850 OXNARD ST,1143.8,64,334174.0,Hotel,56.9,8946.0,1985.0
5101 BALBOA BLVD,149.3,87,94000.0,Multifamily Housing,25.5,1841.7,1985.0
1530 N POINSETTIA PL,280.6,98,132417.0,Multifamily Housing,35.5,1672.6,1989.0
13031 W JEFFERSON BLVD,94.2,92,53365.0,Office,28.5,146.5,1995.0
21201 VICTORY BLVD,87.6,92,35960.0,Office,39.3,598.9,1979.0
1700 W SUNSET BLVD,178,1,49794.0,Multifamily Housing,56.7,3084.2,1924.0
5500 WILSHIRE BLVD,345.2,Not Available,77005.0,Office,70.1,430.1,1928.0
2329 S CORNING ST,106.1,94,63175.0,Multifamily Housing,27.7,3861.4,1963.0
10915 BLUFFSIDE DR,177.7,59,70140.0,Multifamily Housing,42.7,5127.1,1987.0
1818 MICHIGAN AVE,281.6,79,118388.0,Multifamily Housing,40.6,2175.8,2014.0
12200 SYLVAN ST,73.8,79,34004.0,Office,32.7,695.7,2000.0
5637 HAZELTINE AVE,46.5,92,32388.0,Multifamily Housing,23.7,2025.0,1986.0
5710 CRESCENT PARK EAST,391.4,92,255000.0,Multifamily Housing,26.0,5123.4,2003.0
10989 ROCHESTER AVE,79.9,98,42672.0,Multifamily Housing,32.3,1267.2,1972.0
8031 SEPULVEDA BLVD,106,45,28852.0,Multifamily Housing,63.8,3766.4,1962.0
4073 GLENCOE AVE,247,87,102932.0,Multifamily Housing,41.4,3716.3,2003.0
939 S HILL ST,564.4,96,309791.0,Multifamily Housing,29.3,9764.5,2015.0
444 E COMMERCIAL ST,30.3,Not Available,17466.0,Other - Services,30.3,24.0,1990.0
9423 RESEDA BLVD,529.4,81,284697.0,Multifamily Housing,31.5,10010.4,2008.0
6501 W FOUNTAIN AVE,207.8,8,25190.0,Office,146.9,680.6,1990.0
10 UNIVERSAL CITY PLZ,985.4,Not Available,736257.0,Parking,21.9,675.1,1985.0
5601 N FIGUEROA ST,2.7,Not Available,10740.0,Office,4.2,0.0,1923.0
18515 ROSCOE BLVD,162.7,82,46463.0,Office,54.7,1681.6,1981.0
9924 S HOLMES AVE,60,Not Available,15250.0,Fire Station,68.1,461.3,2006.0
12200 W OLYMPIC BLVD,461.7,76,150832.0,Office,46.9,752.1,2000.0
8700 PERSHING DR,362.9,100,183174.0,Multifamily Housing,34.1,5261.8,2004.0
742 W MIRAFLORES AVE,31.4,Not Available,7500.0,Fire Station,72.2,669.2,2001.0
20951 ROSCOE BLVD,91,69,35491.0,Multifamily Housing,45.6,5.2,2010.0
20122 VANOWEN ST,245.4,Not Available,57295.0,Bowling Alley,75.0,2249.4,1958.0
112 N AVENUE 60,52.9,Not Available,10700.0,Fire Station,88.0,704.7,2007.0
1720 N FULLER AVE,548.6,93,277680.0,Multifamily Housing,32.6,4991.8,1987.0
4225 ETHEL AVE,96.7,100,36725.0,Multifamily Housing,46.3,1449.7,1962.0
17830 MERRIDY ST,76.5,93,35550.0,Multifamily Housing,36.4,1460.2,1985.0
14220 BURBANK BLVD,78.2,85,37129.0,Multifamily Housing,37.5,1.8,2010.0
3620 JASMINE AVE,32.7,88,20140.0,Multifamily Housing,27.7,625.4,1980.0
854 S OXFORD AVE,146.1,82,51234.0,Multifamily Housing,49.9,3.2,1929.0
1844 MORTON AVE,53.5,61,29661.0,Multifamily Housing,31.1,1312.8,1987.0
235 S SAN PEDRO ST,402.3,100,222048.0,Multifamily Housing,29.7,8009.4,2009.0
7515 S SEPULVEDA BLVD,9.2,Not Available,25819.0,Worship Facility,6.1,1761.5,1953.0
4727 SEPULVEDA BLVD,874.4,81,305610.0,Office,44.4,3795.3,1980.0
11444 W OLYMPIC BLVD,30.5,Not Available,204763.0,Parking,2.0,95.8,1984.0
6800 AVALON BLVD,7.6,Not Available,50809.0,Other,2.3,65.8,1980.0
2040 FAIR PARK AVE,56.5,99,48865.0,Multifamily Housing,19.1,2742.4,1991.0
533 S FREMONT AVE,258.2,48,86702.0,Office,50.4,1181.2,1968.0
1701 E CESAR CHAVEZ AVE EAST,320.7,75,93342.0,Medical Office,51.9,4882.0,2014.0
7231 VASSAR AVE,63.1,68,25572.0,Multifamily Housing,43.7,1924.0,1993.0
5941 VENICE BLVD,31,Not Available,35035.0,Self-Storage Facility,13.4,391.0,1994.0
5555 HOLLYWOOD BLVD,236.3,90,110087.0,Multifamily Housing,36.0,5288.7,2013.0
2448 N EASTERN AVE,75,71,30202.0,Multifamily Housing,41.8,1536.5,1987.0
12621 ENCINITAS AVE,108.1,76,35826.0,Medical Office,42.9,446.0,2008.0
11818 RIVERSIDE DR,261.4,44,96280.0,Multifamily Housing,45.3,4903.5,1987.0
3038 LIVONIA AVE,42,80,22400.0,Multifamily Housing,33.6,259.6,2010.0
841 S SERRANO AVE,146.1,57,49243.0,Multifamily Housing,53.4,1291.1,1929.0
505 N FIGUEROA ST,821.7,54,266747.0,Multifamily Housing,52.3,14361.1,2003.0
14426 ADDISON ST,61.1,80,23369.0,Multifamily Housing,47.0,782.5,1962.0
11444 W OLYMPIC BLVD,29.3,Not Available,204763.0,Parking,1.9,91.8,1984.0
3833 W AVENUE 42,50.9,Not Available,23728.0,Multifamily Housing,37.8,1910.5,1983.0
1342 W ADAMS BLVD,4.9,98,26111.0,Worship Facility,3.1,1028.6,1934.0
4040 DEL REY AVE,9.9,Not Available,58684.0,Manufacturing/Industrial Plant,2.5,0.0,1980.0
340 S KENMORE AVE,62,100,45345.0,Multifamily Housing,24.7,3360.2,1965.0
2700 SAN MARINO ST,37.8,99,39370.0,Multifamily Housing,14.5,3753.7,1928.0
6022 VARIEL AVE,38,76,29260.0,Office,21.5,198.9,1971.0
11919 OXNARD ST,70.5,75,40685.0,K-12 School,27.1,3310.1,1947.0
6325 TOPANGA CANYON BLVD,433.8,89,104265.0,Office,64.8,5917.8,1966.0
336 S ALEXANDRIA AVE,57.9,60,22512.0,Multifamily Housing,46.1,1299.4,2010.0
12601 ENCINITAS AVE,20,75,25000.0,Non-Refrigerated Warehouse,11.7,546.8,2001.0
1750 VINE ST,478.3,47,110000.0,Office,71.8,1912.0,1956.0
210 S ANDERSON ST,49.6,100,75000.0,Distribution Center,0.9,0.8,1949.0
21021 W ERWIN ST,1014.7,90,419290.0,Multifamily Housing,40.5,14627.8,2015.0
8235 OWENSMOUTH AVE,116.6,61,38978.0,Multifamily Housing,52.0,4836.9,1961.0
21210 S WESTERN AVE,83.6,14,22942.0,Multifamily Housing,64.8,1743.7,1964.0
10529 FLORALITA AVE,109.6,27,34404.0,Multifamily Housing,53.9,2954.8,1965.0
731 LEVERING AVE,7.7,100,26473.0,Multifamily Housing,4.4,0.7,1947.0
2221 BELLEVUE AVE,7.9,100.0,34047.0,Multifamily Housing,3.0,3434.0,1965.0
687 SHATTO PL,73.1,94.0,33840.0,Multifamily Housing,37.0,3.3,1925.0
924 S CARONDELET ST,480,1,72672.0,Multifamily Housing,120.1,4871.3,1988.0
11683 GOSHEN AVE,45.4,91,27513.0,Multifamily Housing,28.2,882.7,1972.0
1026 S BROADWAY,736.8,92,296168.0,Multifamily Housing,42.7,4427.7,2017.0
5118 DE LONGPRE AVE,85.7,53,44957.0,Multifamily Housing,31.2,1697.3,1965.0
330 S NEW HAMPSHIRE AVE,97.8,54,41869.0,Multifamily Housing,41.7,3356.5,1964.0
1331 TORRANCE BLVD,130.5,70,203000.0,Distribution Center,10.6,405.4,1964.0
1400 N EDGEMONT ST,80.8,50,33360.0,Multifamily Housing,40.8,1511.1,1988.0
105 S ORLANDO AVE,20.2,85,22146.0,Multifamily Housing,15.2,753.3,1965.0
15400 SHERMAN WAY,404.5,92,171851.0,Office,34.9,2156.6,1988.0
833 MORAGA DR,69.4,15,27035.0,Multifamily Housing,46.0,880.5,1963.0
10345 W PICO BLVD,50.8,Not Available,15000.0,Worship Facility,57.4,411.6,1951.0
22750 ROSCOE BLVD,90.7,94,32753.0,Wholesale Club/Supercenter,49.4,58.3,1978.0
11620 WILSHIRE BLVD,690.6,90.0,228991.0,Office,48.6,454.1,1975.0
633 N BUNKER HILL AVE,58.5,92,28755.0,Multifamily Housing,36.2,1612.8,1989.0
6231 S LA BREA AVE,65.5,93.0,48960.0,Multifamily Housing,19.8,3859.9,1950.0
12400 BRANFORD ST,734.8,26.0,281288.0,Distribution Center,34.4,3153.7,2012.0
12408 VAN NUYS BLVD,76.8,68,43507.0,Multifamily Housing,26.6,3167.3,1994.0
1301 W PARK WESTERN DR,154.3,100,191424.0,Multifamily Housing,13.5,6563.4,1969.0
3600 E OLYMPIC BLVD,570.9,Not Available,138268.0,Manufacturing/Industrial Plant,65.8,5944.0,1941.0
13535 S FIGUEROA ST,14,82,40000.0,Non-Refrigerated Warehouse,5.0,82.3,1968.0
7501 N TYRONE AVE,25.2,Not Available,188000.0,Parking,2.2,509.0,1990.0
1720 N HARVARD BLVD,60.5,64,23755.0,Multifamily Housing,44.7,1184.9,1955.0
8155 VAN NUYS BLVD,316.5,83,176800.0,Multifamily Housing,30.8,3434.3,1965.0
21125 SATICOY ST,4.1,100,25080.0,Multifamily Housing,2.7,2233.5,1971.0
232 UNION PL,70.0,95.0,37446.0,Multifamily Housing,31.0,2.8,1915.0
1020 E 59TH ST,150.2,Not Available,75145.0,Manufacturing/Industrial Plant,33.0,1392.1,1927.0
1778 E 21ST ST,227.4,Not Available,61850.0,Manufacturing/Industrial Plant,55.5,471.3,1913.0
16733 VENTURA BLVD,99.1,59,24584.0,Wholesale Club/Supercenter,68.0,659.8,1967.0
1254 N JUNE ST,130.8,2,26652.0,Multifamily Housing,87.0,1111.6,1988.0
12730 W RAYMER ST,981.4,Not Available,100096.0,Manufacturing/Industrial Plant,147.9,3126.1,1973.0
2426 W 8TH ST,71.4,Not Available,29500.0,Strip Mall,36.5,4794.3,1998.0
17834 BURBANK BLVD,116.4,79,43757.0,Multifamily Housing,47.9,2229.2,1965.0
688 S BERENDO ST,205.6,93.0,105455.0,Multifamily Housing,31.3,2634.6,2014.0
8926 ORION AVE,131.6,25,33348.0,Multifamily Housing,69.3,4539.2,1964.0
20353 SATICOY ST,51.7,79,35248.0,Multifamily Housing,24.4,2.9,2010.0
8901 BRADLEY AVE,813.3,1,51004.0,Non-Refrigerated Warehouse,263.5,903.6,1988.0
1656 N ORANGE DR,44.3,Not Available,1.0,Parking,6.1,40.5,1967.0
17817 MAGNOLIA BLVD,63.7,74,24511.0,Multifamily Housing,46.9,1569.4,1965.0
4623 LA MIRADA AVE,43.3,96,31560.0,Multifamily Housing,21.1,525.9,1963.0
130 S LA FAYETTE PARK PL,126.6,51,46208.0,Multifamily Housing,46.5,2093.2,1999.0
3630 W WATT WAY,806.1,Not Available,92945.0,College/University,153.8,580.5,2012.0
2736 POMEROY AVE,52.4,99,36525.0,Multifamily Housing,25.5,2372.1,1972.0
11253 NEBRASKA AVE,61.2,86,37362.0,Multifamily Housing,29.0,1433.3,1990.0
18557 PLUMMER ST,59.1,90,24492.0,Multifamily Housing,41.2,1553.0,1998.0
6221 WILSHIRE BLVD,306,25,55488.0,Office,95.1,1652.4,1957.0
1309 AMHERST AVE,49.4,81,26155.0,Multifamily Housing,32.5,928.3,1972.0
21250 CALIFA ST,100.6,94,54099.0,Office,30.5,1265.7,1978.0
6619 LELAND WAY,187.7,56,77530.0,Multifamily Housing,41.2,3300.4,1987.0
5068 FRANKLIN AVE,61.3,50,25540.0,Multifamily Housing,40.3,577.5,1963.0
15301 VALLEY VISTA BLVD,110.7,99,59749.0,Multifamily Housing,32.1,1766.2,1986.0
1140 N GOWER ST,72,82,29000.0,Multifamily Housing,39.0,2823.9,1997.0
1825 WHITLEY AVE,106.2,73,45156.0,Multifamily Housing,41.2,1315.8,1928.0
1743 GARFIELD PL,87.6,60,34190.0,Multifamily Housing,44.7,1539.5,1964.0
18547 PLUMMER ST,80,74,31027.0,Multifamily Housing,43.1,2056.4,1970.0
4068 S DEL REY AVE,21.7,Not Available,87760.0,Self-Storage Facility,3.3,146.6,1988.0
1250 RIO VISTA AVE,651.9,Not Available,188763.0,Manufacturing/Industrial Plant,49.0,825.1,1998.0
8260 OWENSMOUTH AVE,77.9,62,26492.0,Multifamily Housing,51.0,1876.1,1961.0
1756 E 21ST ST,385.2,Not Available,40325.0,Manufacturing/Industrial Plant,177.3,68.8,1994.0
5405 CARLTON WAY,135,69,55969.0,Multifamily Housing,40.7,3104.4,1989.0
11035 HAYVENHURST AVE,80.3,74,27335.0,Multifamily Housing,53.3,1995.1,1959.0
